Date,Hour,Param,COUNT Param
2010-08-10,0,1,7
2010-08-10,0,10,8
2010-08-10,0,11,19
2010-08-10,0,12,5
2010-08-10,0,13,13
2010-08-10,0,14,2
2010-08-10,0,15,8
2010-08-10,0,16,6
2010-08-10,0,17,2
2010-08-10,0,18,14
2010-08-10,0,19,8
2010-08-10,0,2,11
2010-08-10,0,20,10
2010-08-10,0,21,2
2010-08-10,0,22,8
2010-08-10,0,23,3
2010-08-10,0,24,2
2010-08-10,0,25,10
2010-08-10,0,26,11
2010-08-10,0,27,27
2010-08-10,0,28,2
2010-08-10,0,29,9
2010-08-10,0,3,6
2010-08-10,0,30,9
2010-08-10,0,31,15
2010-08-10,0,32,3
2010-08-10,0,4,17
2010-08-10,0,5,4
2010-08-10,0,6,3
2010-08-10,0,7,1
2010-08-10,0,8,3
2010-08-10,0,9,3
2010-08-10,1,10,1
2010-08-10,1,11,3
2010-08-10,1,13,3
2010-08-10,1,15,1
2010-08-10,1,2,2
2010-08-10,1,21,1
2010-08-10,1,22,1
2010-08-10,1,23,1
2010-08-10,1,24,2
2010-08-10,1,25,1
2010-08-10,1,27,4
2010-08-10,1,30,1
2010-08-10,1,31,2
2010-08-10,1,32,1
2010-08-10,1,4,2
2010-08-10,1,5,1
2010-08-10,1,9,1
2010-08-10,10,1,200
2010-08-10,10,10,279
2010-08-10,10,11,736
2010-08-10,10,12,194
2010-08-10,10,13,306
2010-08-10,10,14,141
2010-08-10,10,15,390
2010-08-10,10,16,142
2010-08-10,10,17,53
2010-08-10,10,18,359
2010-08-10,10,19,147
2010-08-10,10,2,503
2010-08-10,10,20,346
2010-08-10,10,21,124
2010-08-10,10,22,271
2010-08-10,10,23,396
2010-08-10,10,24,165
2010-08-10,10,25,499
2010-08-10,10,26,262
2010-08-10,10,27,758
2010-08-10,10,28,61
2010-08-10,10,29,198
2010-08-10,10,3,146
2010-08-10,10,30,340
2010-08-10,10,31,680
2010-08-10,10,32,137
2010-08-10,10,4,411
2010-08-10,10,5,124
2010-08-10,10,6,100
2010-08-10,10,7,59
2010-08-10,10,8,180
2010-08-10,10,9,127
2010-08-10,11,1,168
2010-08-10,11,10,203
2010-08-10,11,11,585
2010-08-10,11,12,146
2010-08-10,11,13,259
2010-08-10,11,14,103
2010-08-10,11,15,229
2010-08-10,11,16,144
2010-08-10,11,17,54
2010-08-10,11,18,349
2010-08-10,11,19,95
2010-08-10,11,2,386
2010-08-10,11,20,271
2010-08-10,11,21,108
2010-08-10,11,22,205
2010-08-10,11,23,306
2010-08-10,11,24,115
2010-08-10,11,25,345
2010-08-10,11,26,211
2010-08-10,11,27,531
2010-08-10,11,28,53
2010-08-10,11,29,187
2010-08-10,11,3,137
2010-08-10,11,30,244
2010-08-10,11,31,469
2010-08-10,11,32,100
2010-08-10,11,4,283
2010-08-10,11,5,76
2010-08-10,11,6,72
2010-08-10,11,7,42
2010-08-10,11,8,171
2010-08-10,11,9,73
2010-08-10,12,1,213
2010-08-10,12,10,235
2010-08-10,12,11,678
2010-08-10,12,12,163
2010-08-10,12,13,316
2010-08-10,12,14,133
2010-08-10,12,15,214
2010-08-10,12,16,217
2010-08-10,12,17,68
2010-08-10,12,18,411
2010-08-10,12,19,115
2010-08-10,12,2,444
2010-08-10,12,20,233
2010-08-10,12,21,121
2010-08-10,12,22,286
2010-08-10,12,23,248
2010-08-10,12,24,101
2010-08-10,12,25,499
2010-08-10,12,26,311
2010-08-10,12,27,695
2010-08-10,12,28,26
2010-08-10,12,29,196
2010-08-10,12,3,134
2010-08-10,12,30,260
2010-08-10,12,31,526
2010-08-10,12,32,87
2010-08-10,12,4,310
2010-08-10,12,5,107
2010-08-10,12,6,89
2010-08-10,12,7,29
2010-08-10,12,8,125
2010-08-10,12,9,97
2010-08-10,13,1,287
2010-08-10,13,10,328
2010-08-10,13,11,1045
2010-08-10,13,12,238
2010-08-10,13,13,488
2010-08-10,13,14,185
2010-08-10,13,15,350
2010-08-10,13,16,260
2010-08-10,13,17,74
2010-08-10,13,18,637
2010-08-10,13,19,155
2010-08-10,13,2,723
2010-08-10,13,20,400
2010-08-10,13,21,177
2010-08-10,13,22,383
2010-08-10,13,23,291
2010-08-10,13,24,132
2010-08-10,13,25,658
2010-08-10,13,26,393
2010-08-10,13,27,955
2010-08-10,13,28,56
2010-08-10,13,29,317
2010-08-10,13,3,186
2010-08-10,13,30,353
2010-08-10,13,31,695
2010-08-10,13,32,130
2010-08-10,13,4,401
2010-08-10,13,5,155
2010-08-10,13,6,87
2010-08-10,13,7,51
2010-08-10,13,8,173
2010-08-10,13,9,127
2010-08-10,14,1,466
2010-08-10,14,10,582
2010-08-10,14,11,1605
2010-08-10,14,12,538
2010-08-10,14,13,846
2010-08-10,14,14,280
2010-08-10,14,15,454
2010-08-10,14,16,488
2010-08-10,14,17,121
2010-08-10,14,18,1086
2010-08-10,14,19,324
2010-08-10,14,2,1100
2010-08-10,14,20,626
2010-08-10,14,21,275
2010-08-10,14,22,661
2010-08-10,14,23,484
2010-08-10,14,24,254
2010-08-10,14,25,1187
2010-08-10,14,26,736
2010-08-10,14,27,1544
2010-08-10,14,28,62
2010-08-10,14,29,576
2010-08-10,14,3,394
2010-08-10,14,30,616
2010-08-10,14,31,1362
2010-08-10,14,32,192
2010-08-10,14,4,636
2010-08-10,14,5,284
2010-08-10,14,6,183
2010-08-10,14,7,89
2010-08-10,14,8,240
2010-08-10,14,9,243
2010-08-10,15,1,718
2010-08-10,15,10,927
2010-08-10,15,11,2705
2010-08-10,15,12,817
2010-08-10,15,13,1342
2010-08-10,15,14,524
2010-08-10,15,15,754
2010-08-10,15,16,883
2010-08-10,15,17,212
2010-08-10,15,18,1831
2010-08-10,15,19,528
2010-08-10,15,2,1743
2010-08-10,15,20,1171
2010-08-10,15,21,436
2010-08-10,15,22,1055
2010-08-10,15,23,759
2010-08-10,15,24,400
2010-08-10,15,25,1838
2010-08-10,15,26,1148
2010-08-10,15,27,2409
2010-08-10,15,28,112
2010-08-10,15,29,853
2010-08-10,15,3,642
2010-08-10,15,30,984
2010-08-10,15,31,2177
2010-08-10,15,32,332
2010-08-10,15,4,1159
2010-08-10,15,5,529
2010-08-10,15,6,301
2010-08-10,15,7,113
2010-08-10,15,8,437
2010-08-10,15,9,352
2010-08-10,16,1,1036
