Date,Hour,Param,COUNT Param
2010-08-10,0,1,94
2010-08-10,0,10,171
2010-08-10,0,11,365
2010-08-10,0,12,122
2010-08-10,0,13,160
2010-08-10,0,14,49
2010-08-10,0,15,124
2010-08-10,0,16,220
2010-08-10,0,17,21
2010-08-10,0,18,448
2010-08-10,0,19,63
2010-08-10,0,2,271
2010-08-10,0,20,154
2010-08-10,0,21,53
2010-08-10,0,22,161
2010-08-10,0,23,188
2010-08-10,0,24,50
2010-08-10,0,25,274
2010-08-10,0,26,128
2010-08-10,0,27,293
2010-08-10,0,28,28
2010-08-10,0,29,103
2010-08-10,0,3,78
2010-08-10,0,30,146
2010-08-10,0,31,285
2010-08-10,0,32,70
2010-08-10,0,4,169
2010-08-10,0,5,68
2010-08-10,0,6,26
2010-08-10,0,7,27
2010-08-10,0,8,92
2010-08-10,0,9,49
2010-08-10,1,1,78
2010-08-10,1,10,151
2010-08-10,1,11,345
2010-08-10,1,12,114
2010-08-10,1,13,162
2010-08-10,1,14,47
2010-08-10,1,15,128
2010-08-10,1,16,186
2010-08-10,1,17,37
2010-08-10,1,18,339
2010-08-10,1,19,66
2010-08-10,1,2,208
2010-08-10,1,20,178
2010-08-10,1,21,52
2010-08-10,1,22,147
2010-08-10,1,23,185
2010-08-10,1,24,43
2010-08-10,1,25,258
2010-08-10,1,26,147
2010-08-10,1,27,312
2010-08-10,1,28,25
2010-08-10,1,29,70
2010-08-10,1,3,93
2010-08-10,1,30,171
2010-08-10,1,31,272
2010-08-10,1,32,56
2010-08-10,1,4,162
2010-08-10,1,5,46
2010-08-10,1,6,46
2010-08-10,1,7,17
2010-08-10,1,8,73
2010-08-10,1,9,53
2010-08-10,10,1,303
2010-08-10,10,10,407
2010-08-10,10,11,1065
2010-08-10,10,12,318
2010-08-10,10,13,420
2010-08-10,10,14,210
2010-08-10,10,15,546
2010-08-10,10,16,195
2010-08-10,10,17,125
2010-08-10,10,18,566
2010-08-10,10,19,248
2010-08-10,10,2,837
2010-08-10,10,20,586
2010-08-10,10,21,225
2010-08-10,10,22,502
2010-08-10,10,23,587
2010-08-10,10,24,272
2010-08-10,10,25,838
2010-08-10,10,26,370
2010-08-10,10,27,875
2010-08-10,10,28,204
2010-08-10,10,29,339
2010-08-10,10,3,281
2010-08-10,10,30,529
2010-08-10,10,31,1127
2010-08-10,10,32,168
2010-08-10,10,4,760
2010-08-10,10,5,240
2010-08-10,10,6,113
2010-08-10,10,7,117
2010-08-10,10,8,356
2010-08-10,10,9,253
2010-08-10,11,1,243
2010-08-10,11,10,319
2010-08-10,11,11,707
2010-08-10,11,12,228
2010-08-10,11,13,334
2010-08-10,11,14,149
2010-08-10,11,15,342
2010-08-10,11,16,168
2010-08-10,11,17,84
2010-08-10,11,18,414
2010-08-10,11,19,165
2010-08-10,11,2,610
2010-08-10,11,20,390
2010-08-10,11,21,162
2010-08-10,11,22,429
2010-08-10,11,23,380
2010-08-10,11,24,206
2010-08-10,11,25,641
2010-08-10,11,26,285
2010-08-10,11,27,626
2010-08-10,11,28,133
2010-08-10,11,29,274
2010-08-10,11,3,230
2010-08-10,11,30,365
2010-08-10,11,31,792
2010-08-10,11,32,126
2010-08-10,11,4,532
2010-08-10,11,5,166
2010-08-10,11,6,104
2010-08-10,11,7,79
2010-08-10,11,8,210
2010-08-10,11,9,212
2010-08-10,12,1,242
2010-08-10,12,10,338
2010-08-10,12,11,766
2010-08-10,12,12,230
2010-08-10,12,13,408
2010-08-10,12,14,178
2010-08-10,12,15,302
2010-08-10,12,16,201
2010-08-10,12,17,103
2010-08-10,12,18,449
2010-08-10,12,19,174
2010-08-10,12,2,574
2010-08-10,12,20,396
2010-08-10,12,21,159
2010-08-10,12,22,446
2010-08-10,12,23,346
2010-08-10,12,24,176
2010-08-10,12,25,606
2010-08-10,12,26,341
2010-08-10,12,27,707
2010-08-10,12,28,87
2010-08-10,12,29,323
2010-08-10,12,3,232
2010-08-10,12,30,360
2010-08-10,12,31,719
2010-08-10,12,32,100
2010-08-10,12,4,510
2010-08-10,12,5,188
2010-08-10,12,6,87
2010-08-10,12,7,57
2010-08-10,12,8,171
2010-08-10,12,9,183
2010-08-10,13,1,365
2010-08-10,13,10,433
2010-08-10,13,11,968
2010-08-10,13,12,349
2010-08-10,13,13,646
2010-08-10,13,14,289
2010-08-10,13,15,383
2010-08-10,13,16,375
2010-08-10,13,17,91
2010-08-10,13,18,767
2010-08-10,13,19,263
2010-08-10,13,2,831
2010-08-10,13,20,601
2010-08-10,13,21,246
2010-08-10,13,22,627
2010-08-10,13,23,392
2010-08-10,13,24,228
2010-08-10,13,25,879
2010-08-10,13,26,511
2010-08-10,13,27,945
2010-08-10,13,28,93
2010-08-10,13,29,423
2010-08-10,13,3,350
2010-08-10,13,30,462
2010-08-10,13,31,981
2010-08-10,13,32,175
2010-08-10,13,4,697
2010-08-10,13,5,309
2010-08-10,13,6,121
2010-08-10,13,7,70
2010-08-10,13,8,183
2010-08-10,13,9,183
2010-08-10,14,1,560
2010-08-10,14,10,710
2010-08-10,14,11,1742
2010-08-10,14,12,639
2010-08-10,14,13,1055
2010-08-10,14,14,485
2010-08-10,14,15,619
2010-08-10,14,16,690
2010-08-10,14,17,227
2010-08-10,14,18,1412
2010-08-10,14,19,490
2010-08-10,14,2,1495
2010-08-10,14,20,1053
2010-08-10,14,21,510
2010-08-10,14,22,1086
2010-08-10,14,23,574
2010-08-10,14,24,432
2010-08-10,14,25,1493
2010-08-10,14,26,851
2010-08-10,14,27,1742
2010-08-10,14,28,126
2010-08-10,14,29,765
2010-08-10,14,3,689
2010-08-10,14,30,795
2010-08-10,14,31,1793
2010-08-10,14,32,238
2010-08-10,14,4,1252
2010-08-10,14,5,560
2010-08-10,14,6,199
2010-08-10,14,7,115
2010-08-10,14,8,428
2010-08-10,14,9,384
2010-08-10,15,1,990
2010-08-10,15,10,1106
2010-08-10,15,11,2782
2010-08-10,15,12,1059
2010-08-10,15,13,1721
2010-08-10,15,14,758
2010-08-10,15,15,960
2010-08-10,15,16,1060
2010-08-10,15,17,347
2010-08-10,15,18,2547
2010-08-10,15,19,720
2010-08-10,15,2,2369
2010-08-10,15,20,1809
2010-08-10,15,21,702
2010-08-10,15,22,1809
2010-08-10,15,23,945
2010-08-10,15,24,756
2010-08-10,15,25,2482
2010-08-10,15,26,1291
2010-08-10,15,27,2663
2010-08-10,15,28,224
2010-08-10,15,29,1081
2010-08-10,15,3,1143
2010-08-10,15,30,1376
2010-08-10,15,31,2983
2010-08-10,15,32,503
2010-08-10,15,4,2106
2010-08-10,15,5,908
2010-08-10,15,6,392
2010-08-10,15,7,180
2010-08-10,15,8,683
2010-08-10,15,9,600
2010-08-10,16,1,1468
2010-08-10,16,10,1579
2010-08-10,16,11,3970
2010-08-10,16,12,1540
2010-08-10,16,13,2285
2010-08-10,16,14,958
2010-08-10,16,15,1332
2010-08-10,16,16,1547
2010-08-10,16,17,438
2010-08-10,16,18,3317
2010-08-10,16,19,975
2010-08-10,16,2,3476
2010-08-10,16,20,2721
2010-08-10,16,21,998
2010-08-10,16,22,2781
2010-08-10,16,23,1238
2010-08-10,16,24,1135
2010-08-10,16,25,3490
2010-08-10,16,26,1694
2010-08-10,16,27,3782
2010-08-10,16,28,314
